ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
tongue	Person/Thing	The body	舌头					tong					lengua					Zunge					mouth; taste; lick; kiss; cheek; language; lips; teeth; muscle; food; red; beef; pink; talk; wet; eat	41; 34; 18; 15; 13; 13; 10; 10; 7; 6; 6; 5; 5; 5; 5; 4	说话; 牙齿; 舔; 吃饭; 味道; 嘴巴; 接吻; 灵活; 烫; 吻; 红色	6; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3									kus; mond; smaak; vis; eten; rood; proeven; zoenen; lekker; likken; tanden; koe; piercing; praten; speeksel; spier; nat; roze; lang; smaakpapillen	35; 27; 18; 15; 14; 12; 10; 10; 9; 7; 7; 6; 6; 6; 6; 6; 5; 5; 4; 4									idioma; boca; hablar; órgano; beso; español; gusto; sabor; saliva; materna; mojado; roja; húmedo; músculo; nativa	23; 16; 16; 7; 5; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3									Mund; Geschmack; schmecken; Muskel; Kuss; Schmecken; rot; Sprache; essen; Gesicht; Organ	21; 14; 11; 7; 6; 5; 5; 4; 4; 3; 3								
toothbrush			牙刷					tandenborstel					cepillo de dientes										toothpaste; teeth; clean; dentist; paste; brush; bristles; white; bathroom; morning; floss; hygiene; mint; scrub; sink; bedtime; dental; gums	52; 50; 23; 13; 13; 9; 8; 8; 7; 6; 5; 5; 5; 5; 4; 3; 3; 3	牙膏; 刷牙; 杯子; 电动; 牙齿; 清洁; 水; 洗脸	38; 13; 7; 7; 6; 4; 3; 3									tandpasta; tanden; poetsen; fris; wit; hygiëne; tandarts; hygiene; proper; beker; munt; badkamer; electrisch; elektrisch; ochtend; water; gebit	66; 43; 25; 11; 10; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 4; 3									pasta; higiene; limpieza; dientes; salud; dentífrico; caries; cerdas; aliento; odontólogo; sonrisa	19; 17; 12; 11; 10; 9; 5; 5; 3; 3; 3																		
topic			话题					onderwerp					tema					Thema					subject; idea; theme; discussion; essay; tropic; conversation; hot; sentence; category; off; study; title; book; heading; issue; area; choice; class; main	37; 13; 11; 9; 8; 8; 7; 7; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3	微博; 讨论; 聊天; 主题; 热门; 说话; topic; 交流; 尬聊; 新闻; 炒作; 热搜; tag	10; 9; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2									thema; subject; gesprek; zinsontleding; zin; brief; item; titel; werkwoord; boek; ding; iets; school; voorwerp; grammatica; persoonsvorm; wat; gezegde; belangrijk; issue	26; 14; 12; 10; 8; 7; 7; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3									canción; música; tópico; libro; estudio; asunto; conversación; charla; examen; tesis; título; algo	17; 15; 11; 8; 6; 5; 5; 4; 3; 3; 3; 2									Überschrift; Diskussion; Arbeit; Buch; Gespräch; Inhalt; Titel; Vortrag; Aufsatz; Referat; interessant; Aufgabe	10; 6; 4; 4; 4; 4; 4; 4; 3; 3; 3; 2								
toy			玩具					speelgoed					juguete					Spielzeug					play; child; fun; game; boy; doll; train; box; car; plaything; story; ball; kid; dog; boat; childhood; house; Lego; loges; plastic	32; 24; 22; 11; 9; 9; 9; 8; 8; 7; 7; 6; 6; 5; 3; 3; 3; 3; 3; 3	小孩; 儿童; 孩子; 塑料; 游戏; 童年; 娃娃; 小朋友; 汽车; 玩偶; 玩具店; 积木	10; 8; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3									kinderen; pop; sinterklaas; bal; lego; spelen; blokken; leuk; auto; beer; barbie; autos; plezier; tol; trein; winkel; duur	40; 33; 22; 21; 15; 12; 11; 11; 9; 9; 8; 5; 4; 4; 4; 4; 3									niño; diversión; juego; infancia; jugar; muñeca; muñeco; plástico; alegría; chiche; divertido; niñez	29; 15; 15; 6; 6; 6; 6; 5; 4; 4; 4; 4									Kinder; Kind; Puppe; Auto; Lego; spielen; Spaß; Holz; Ball; Eisenbahn	15; 13; 13; 11; 9; 9; 7; 5; 4; 4								
tractor			拖拉机					tractor					tractor					Traktor					farm; field; trailer; pull; plow; farmer; green; machine; red; wheel; crops; John Deere; agricultural; beam; corn; work; country; dirt; drive; engine	64; 20; 16; 15; 14; 12; 6; 6; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3	农村; 蓝翔; 挖掘机; 柴油; 农业; 耕地; 农民; 农田; 噪音	8; 6; 5; 5; 4; 4; 3; 3; 3									boer; veld; boerderij; landbouw; akker; traag; land; ploegen; groot; koe; mest; modder; wiel; aarde; groen; werken; gras; lawaai; motor; rijden	72; 28; 19; 15; 8; 8; 7; 7; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3									campo; trabajo; máquina; cosecha; amarillo; arar; granja; pasto; tierra; fuerza; ruedas; cosechadora	46; 12; 9; 8; 6; 4; 4; 4; 4; 3; 3; 2									Feld; Bauer; Landwirtschaft; Bauernhof; Acker; Anhänger; Ernte; Maschine; fahren; rot; Fahrzeug; GROSS	16; 14; 14; 13; 5; 3; 3; 3; 3; 3; 2; 2								
tradition			传统					traditie					tradición					Tradition					family; Christmas; old; culture; holiday; Thanksgiving; fiddler; annual; custom; heritage; history; Jewish; conservative; food; always; candle; ceremony; historical; ritual; wedding	31; 16; 15; 12; 12; 7; 6; 5; 5; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3	文化; 习俗; 春节; 思想; 现代; 糟粕; 过年; 传承; 节日	18; 8; 7; 4; 4; 4; 4; 3; 3									gewoonte; familie; cultuur; oud; ouderwets; folklore; gebruik; trouw; feest; kerstmis; conservatief; geschiedenis; getrouw; klederdracht; kerk; ritueel; waarden; geloof; herhaling; in ere houden	26; 25; 13; 12; 12; 7; 7; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3									cultura; costumbre; mate; gaucho; familia; traición; folklore; patria; asado; herencia; historia	19; 15; 9; 8; 5; 5; 4; 4; 3; 3; 3									Kultur; alt; Brauch; Familie; Werte; Brauchtum; Tracht; Bayern; Kirche	9; 9; 7; 7; 7; 4; 4; 3; 3								
train			火车					trein					tren					trainieren					track; locomotive; station; car; engine; steam; caboose; teach; educate; railroad; whistle; bus; conductor; fast; learn; rail; ride; transport; travel; wreck	24; 21; 10; 9; 9; 9; 8; 8; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 4	铁轨; 飞机; 高铁; 旅行; 汽车; 绿色; 交通; 绿皮; 轨道; 交通工具; 列车; 动车; 旅游; 车厢; 远方; 况且况且; 地铁	8; 8; 8; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2									station; spoor; reizen; conducteur; snel; wagon; perron; vertraging; vervoer; lang; nmbs; ticket; locomotief; reis; bus; lawaai; te laat; zee; leuven; huis	25; 23; 12; 11; 11; 10; 8; 8; 8; 7; 7; 7; 6; 6; 5; 5; 5; 5; 4; 3									vías; transporte; viaje; locomotora; estación; ferrocarril; vagones; distancias; bala; rieles; avión; carga; humo; locomoción	21; 16; 14; 12; 8; 8; 8; 5; 4; 4; 3; 3; 3; 3									Sport; üben; Muskeln; Fitness; Training; Ausdauer; Gym; Körper; Bizeps; Fitnessstudio	36; 14; 9; 6; 4; 3; 3; 3; 2; 2								
training			训练					training					entrenamiento					Training					learning; work; education; exercise; practice; running; skills; sports; teaching; school; wheels; gym; job; bra; dog; boring; camp; day; fitness; marathon	21; 15; 13; 9; 8; 8; 8; 8; 8; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 4	体育; 辛苦; 教练; 跑步; 运动; 军训; 汗水; 累; 苦	10; 10; 5; 5; 5; 4; 4; 3; 3									sport; lopen; voetbal; zweet; oefenen; zweten; afzien; kledij; tennis; conditie; moe; oefening; trainingspak; gezond; bal; fitness; geheugen; intensief; trainer; zwemmen	38; 24; 20; 12; 10; 10; 6; 6; 6; 5; 5; 5; 5; 4; 3; 3; 3; 3; 3; 3									deporte; ejercicio; sudor; esfuerzo; práctica; cansancio; correr; físico; gimnasia; salud; constancia; gimnasio; disciplina; duro; practicar; rutina	16; 11; 8; 7; 6; 5; 5; 5; 5; 5; 4; 4; 3; 3; 3; 3									Sport; Übung; Fußball; Fitness; Hobby; anstrengend; Ausdauer; Muskeln; Schwitzen; verbessern; Anstrengung	35; 8; 7; 4; 4; 4; 3; 3; 3; 3; 2								
tree	Person/Thing	Agriculture and vegetation	树	大树				boom					árbol					Baum					green; branch; leaves; leaf; plant; oak; forest; wood; bush; bark; top; house; life; root; shade; tall; apple; big; Christmas; shrub	25; 22; 19; 12; 12; 10; 8; 8; 7; 6; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4	绿色; 森林; 木; 花; 林; 树叶; 叶; 叶子; 果实; 森; 绿; 草; 乘凉; 人; 凉快; 大	13; 7; 6; 6; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2	树叶; 树木; 绿色; 乘凉; 小草; 叶子; 树荫; 森林; 依靠; 树苗; 植物; 花	9; 6; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3							blad; groen; bos; bladeren; stam; tak; appel; natuur; vogel; eik; tuin; groot; herfst; berg; bruin; fruit; hout	32; 32; 22; 21; 19; 17; 8; 8; 8; 7; 7; 6; 6; 3; 3; 3; 3									verde; hojas; vida; planta; sombra; oxígeno; naturaleza; bosque; raíces; tronco; aire; fruto; grande; vegetal	16; 13; 12; 11; 11; 8; 7; 6; 6; 6; 4; 4; 4; 4									Blatt; Wald; grün; Stamm; Ast; Blätter; Natur; Laub; Grün; Holz; Leben; Apfel	15; 15; 15; 10; 9; 8; 6; 5; 4; 4; 4; 3								
trend			趋势					trend					tendencia	moda				Trend					fashion; fad; cool; popular; direction; line; trendy; follow; hip; hipster; clothes; mode; new; now; twitter; going; graph; jeans; mainstream	49; 17; 7; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	股票; 走向; 上升; 发展; 增长; 下降; 形势; 方向; 经济; 股市; 趋向; 上扬	8; 8; 7; 4; 4; 3; 3; 3; 3; 3; 3; 2									mode; nieuw; rage; volgen; hip; hype; in; tijdelijk; kleding; modern; trendwatcher; duur; jongeren; kledij; voorbijgaand; evolutie; gewoonte; meedoen; meeloper; setter	78; 11; 10; 9; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3									moda; estilo; ropa; inclinación; modelo; costumbre; estadística; gráfica	47; 4; 4; 3; 3; 2; 2; 2	ropa; modelo; fashion; tendencia; pasarela; color; desfile; estilo; incómoda; pasajera; vestido; actual	35; 9; 8; 6; 5; 4; 4; 4; 4; 4; 4; 3							Mode; Richtung; modern; Kleidung; Tendenz; vergänglich; Analyse; Bewegung; Entwicklung; Hype; Instagram; Masse; Modern	26; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2; 2; 2								
trombone			长号					trombone					trombón					Posaune					brass; music; trumpet; instrument; slide; band; horn; loud; saxophone; jazz; orchestra; bass; tuba; long; 76; blow; low	37; 25; 20; 19; 19; 17; 15; 9; 7; 6; 6; 5; 5; 4; 3; 3; 3	乐器; 小号; 短号; 圆号; 交响乐; 音乐; 吹奏; 肺活量; 萨克斯; 金属	22; 12; 12; 8; 4; 4; 3; 3; 3; 3									muziek; fanfare; orkest; trompet; instrument; lawaai; blazen; koper; muziekinstrument; geluid; groot; zwaar; goud; luid; blaasinstrument; harmonie; trombose; trommel	42; 21; 18; 18; 17; 13; 11; 11; 9; 8; 8; 7; 6; 6; 3; 3; 3; 3									música; instrumento; orquesta; trompeta; viento; sonido; aire; dorado; flauta	28; 25; 11; 10; 10; 5; 2; 2; 2									Orchester; Instrument; laut; Blasinstrument; Musik; Blech; Engel; Gold; Trompete; Blechbläser; Chor	14; 13; 10; 9; 7; 6; 5; 5; 5; 4; 4								
trouble			麻烦					problemen	penarie	hinder	moeite		problema	problemas	apuros	lío	disgusto	Ärger					problem; bad; double; difficulty; danger; maker; bother; issue; bubble; fight; police; woe; worry; child; difficult; help; ill; law; naughty; pain	24; 21; 16; 9; 7; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	讨厌; 解决; 困扰; 困难; 事; 制造; 帮忙; 烦躁; 问题; trouble; 不断; 头疼	10; 6; 4; 4; 3; 3; 3; 3; 3; 2; 2; 2									oplossen; oplossing; moeilijk; moeilijkheden; ruzie; hulp; geld; liefde; miserie; stress; denken; thuis; veroorzaken; vrienden; angst; praten; relaties; slecht; studeren; verdriet	30; 27; 9; 9; 9; 8; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3					inspanning; moeilijk; werk; zwaar; last; doen; inzet; lastig; probleem; zweet; proberen; willen; moe; vermoeiend; doorzetten; doorzetting; energie; hard; kosten; pijn	38; 24; 13; 13; 9; 8; 8; 8; 8; 7; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3			solución; dificultad; resolver; lío; matemática; desafío; matemáticas; crisis; difícil; duda; inconveniente; mental; resolución; resuelto	39; 10; 8; 7; 6; 5; 5; 3; 3; 3; 3; 3; 3; 3	soluciones; matemática; inconvenientes; lío; obstáculos; preocupación; conflicto; difícil; estrés; malos; matemáticas; mentales; resolución	27; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	rápido; problemas; correr; tiempo; prisa; aprietos; líos; rapidez; tarde; corrida	16; 14; 8; 8; 7; 5; 4; 4; 4; 3	problema; quilombo; pelea; desorden; Messi; caos; entrevero; bardo; desastre; enredo; relajo	27; 14; 11; 10; 8; 5; 5; 3; 3; 3; 3	tristeza; enojo; dolor; malestar; angustia; decepción; malo; desagrado; desilusión; mal; amargura	19; 11; 9; 9; 7; 5; 5; 4; 4; 4; 3										
truck			卡车	货车				vrachtwagen					camión					Lastwagen					car; big; driver; lorry; vehicle; wheels; van; heavy; road; haul; moving; pickup; semi; transport; dump; loud; red; tire; bed; cargo	27; 13; 12; 11; 9; 9; 8; 7; 6; 5; 5; 5; 5; 5; 4; 4; 4; 4; 3; 3	司机; 货车; 货物; 大; 汽车; 车祸; 轮胎; 载货; 运输; 危险; 皮卡; 蓝色; 轮子	15; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	卡车; 司机; 大; 货物; 快递; 危险; 汽车; 运输; 高速公路; 事故; 卸货; 搬家; 水果; 物流	12; 11; 7; 7; 5; 4; 4; 4; 4; 3; 3; 3; 2; 2							groot; chauffeur; file; vervoer; autosnelweg; wielen; lading; auto; autostrade; rijden; transport; truck; voertuig; zwaar; gevaarlijk; weg; camion; gevaar; trucker; autoweg	22; 20; 13; 13; 11; 10; 9; 8; 8; 8; 8; 6; 6; 6; 5; 5; 4; 4; 4; 3									transporte; grande; carga; ruta; ruedas; vehículo; auto; carretera; pesado	26; 21; 18; 15; 12; 11; 8; 5; 5									LKW; Transport; Autobahn; schwer; Auto; GROSS; Stau; Fahrzeug; Güter; Straße; Verkehr	12; 12; 7; 7; 6; 6; 6; 5; 5; 5; 5								
trust			信任	信赖				vertrouwen					confianza					Vertrauen	vertrauen				faith; bank; love; friend; fund; believe; honest; honor; confidence; rely; me; money; belief; fidelity; honesty; worthy; faithful; in; loyal; loyalty	21; 16; 14; 11; 10; 9; 9; 9; 8; 8; 7; 6; 4; 4; 4; 4; 3; 3; 3; 3	相信; 朋友; 家人; 信心; 自己; 人; 信赖; 关系; 我; 背叛; 诚信; 他人	12; 11; 10; 4; 4; 3; 3; 3; 3; 3; 3; 2	信任; 依赖; 朋友; 关系; 伙伴; 依靠; 家人; 爱; 交付; 亲人; 人品; 伴侣; 你	23; 10; 8; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2							vrienden; geloof; liefde; relatie; belangrijk; geheim; vriendschap; partner; eerlijk; beschamen; eerlijkheid; gezin; goed; huwelijk; kind; trouw; band; blind; familie; geluk	35; 12; 12; 12; 11; 10; 10; 9; 6; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3									seguridad; amistad; amigo; fe; amor; creer; tranquilidad; valor; familia; respeto	16; 14; 12; 11; 6; 5; 5; 5; 4; 4											Freundschaft; Liebe; Sicherheit; Freunde; Treue; liebe; Beziehung; Ehrlichkeit; Geborgenheit; Glaube; Zuversicht; nähe; Angst; Familie	8; 8; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 2; 2						
truth	Person/Thing	Emotions and values	真相	真理	事实			waarheid					verdad					Wahrheit					lie; honesty; honest; dare; justice; fact; false; told; science; trust; free; good; true; clarity; God; hurts; love; absolute; beauty	40; 16; 15; 9; 9; 8; 8; 6; 5; 5; 4; 4; 4; 3; 3; 3; 3; 2; 2	大白; 只有一个; 真实; 柯南; 事实; 假象; 真相大白; 侦探; 名侦探柯南; 唯一; 正义; 残酷	16; 7; 7; 5; 4; 4; 4; 3; 3; 3; 3; 3	实践; 真相; 哲学; 实验; 道理; 少数; 少数人; 真知; 不存在	9; 5; 4; 4; 4; 3; 3; 3; 2	真相; 真实; 如此; 实事求是; 案件; 证明; 雄辩; 事件; 事情	23; 6; 4; 3; 3; 3; 3; 2; 2					eerlijk; echt; leugen; juist; eerlijkheid; liegen; goed; oprecht; echtheid; belangrijk; correct; trouw; zweren; geloof; hard; leugens; niet liegen; oprechtheid; realiteit; spreken	40; 27; 19; 10; 8; 8; 7; 7; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3									mentira; cierto; justicia; realidad; sinceridad; necesaria; absoluta; certeza; honestidad; única; libertad	21; 11; 8; 7; 6; 5; 4; 4; 4; 4; 3									Lüge; Ehrlichkeit; Vertrauen; Pflicht; ehrlich; lüge; Mut; echt; falsch; gut; wichtig; Aufrichtigkeit; Beziehung	26; 6; 6; 5; 5; 4; 3; 3; 3; 3; 3; 2; 2								
tuna			金枪鱼	吞拿鱼				tonijn					atún										fish; can; salad; sandwich; sushi; sea; cat; ocean; food; tin; melt; salmon; smelly; blue; casserole; dolphin	84; 33; 25; 13; 11; 10; 8; 7; 5; 5; 4; 4; 4; 3; 3; 3			寿司; 鱼类; 金枪鱼; 罐头; 三明治; 日料; 海洋; 食物; 三文鱼	7; 7; 6; 5; 4; 4; 4; 4; 3							vis; blik; lekker; salade; zee; eten; rood; pizza; broodje; japan; roze; sla; zalm; konijn; oceaan; restaurant	80; 21; 17; 14; 13; 9; 7; 5; 4; 4; 4; 4; 4; 3; 3; 3									pez; pescado; lata; mar; comida; arroz; enlatado; rico; alimento; pesca; tarta	34; 24; 22; 15; 11; 4; 4; 4; 3; 3; 3																		
umbrella			雨伞	伞				paraplu					paraguas					Regenschirm					rain; wet; cover; boots; Rhianna; parasol; wind; cold; protection; shade; black; clouds; corporation; dry; raincoat; shadow	85; 13; 9; 8; 8; 7; 6; 5; 4; 4; 3; 3; 3; 3; 3; 3	下雨; 雨; 雨衣; 黑色; 恋人; 挡雨; 撑伞; 阳伞	29; 5; 4; 4; 2; 2; 2; 2	下雨; 太阳; 雨伞; 雨; 打伞; 雨天; 雨水; 遮阳; 遮阳伞; 保护	27; 11; 9; 7; 5; 5; 5; 4; 3; 2							regen; nat; wind; zon; koud; bescherming; herfst; kleuren; parasol; water; onweer; zwart; droog; scherm; stok; vergeten; wandelen; auto; engeland	94; 22; 11; 10; 8; 7; 6; 5; 5; 5; 4; 4; 3; 3; 3; 3; 3; 2; 2									lluvia; protección; agua; mojado; sombrilla; viento; botas; frío; gotas; negro; roto	58; 12; 10; 6; 6; 6; 3; 3; 3; 3; 3									Regen; nass; Schutz; Nass; bunt; Sonne; Nässe; Wasser; regen	23; 15; 12; 7; 6; 4; 3; 3; 3								
understand			理解	了解				begrijpen					entender	comprender				kapieren	verstehen				comprehend; know; get; see; knowledge; learn; think; agree; meaning; acknowledge; Ken; language; yes; comply; empathize; explain; feel; grok; instructions; perceive	42; 36; 17; 12; 10; 7; 7; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	明白; 懂得; 沟通; 了解; 阅读理解; 不能; 交流; 体谅; 共情; 包容; 同理心; 善解人意	9; 5; 5; 3; 3; 2; 2; 2; 2; 2; 2; 2	明白; 知道; 情况; 知识; 清楚; 对方; 自己; 认识; 熟悉; 了; 了然	17; 11; 9; 7; 5; 4; 4; 4; 3; 2; 2							verstaan; snappen; weten; begrip; inzicht; inzien; verstand; kennen; luisteren; slim; vatten; communicatie; duidelijk; leerstof; les; moeilijk; taal; vraag; bevatten; empathie	58; 19; 13; 10; 8; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3									comprender; saber; escuchar; aprender; empatía; razonar; explicar; analizar; comprensión; leer; razonamiento; aprehender	33; 12; 8; 7; 5; 5; 4; 3; 3; 3; 3; 2	entender; saber; aprender; escuchar; empatía; razonar; asimilar; aplicar; apoyar	50; 11; 9; 9; 7; 7; 5; 2; 2							verstehen; lernen; Schule; Verständnis; Kopf; checken; Verstehen; begreifen; Aha	41; 7; 6; 5; 4; 4; 3; 3; 2	begreifen; Sprache; lernen; kapieren; wissen; Empathie; Intelligenz; Verständnis; erkennen; hören; nachvollziehen; Gehirn	13; 7; 7; 5; 4; 3; 3; 3; 3; 3; 3; 2						
uniform			制服					uniform					uniforme					Uniform					military; school; police; same; army; clothes; soldier; nurse; work; even; outfit; blue; conformity; consistent; similar; clean; dress; formal; identical; starch	20; 20; 19; 11; 10; 10; 9; 8; 8; 7; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	警察; 诱惑; 工作; 校服; 统一; 衣服; JK; 学生; 水手服; 好看; 护士	15; 9; 7; 6; 6; 6; 4; 4; 4; 3; 3									politie; leger; school; blauw; soldaat; agent; chiro; discipline; groen; postbode; saai; scouts; sexy; gelijk; hetzelfde; streng; gezag; kledij; marine; piloot	39; 38; 29; 17; 6; 5; 5; 5; 5; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3									colegio; igual; escuela; liceo; militar; igualdad; parejo; azul; corbata; policía; trabajo; vestimenta; escolar; ropa; camisa	15; 12; 8; 8; 8; 6; 6; 5; 5; 5; 5; 5; 4; 4; 3									Polizei; Militär; Soldat; Armee; Polizist; Schule; Schuluniform; Soldaten; einheitlich; gleich; Arbeit	18; 17; 14; 4; 4; 4; 3; 3; 3; 3; 2								
unity			团结					eenheid	eendracht				unidad					Einigkeit					together; one; togetherness; church; love; oneness; peace; marriage; unite; bonded; team; candle; family; friend; whole; group; strength	33; 30; 11; 8; 8; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3	力量; 友爱; 一致; 团体; 集体; 拔河; 班级; 一心; 严肃; 中国; 军人	15; 9; 6; 5; 4; 3; 3; 2; 2; 2; 2									samen; leger; geheel; unie; groep; wiskunde; macht; unit; europa; meter; belgië; een; maat; kilo; samenhorigheid; team; één; 1; diversiteit; geld	17; 16; 11; 11; 10; 9; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3	macht; samen; sterk; maakt macht; aalst; belgië; unie; samenhorigheid; eenheid; groep; voetbal; voetbalploeg; eensgezind; eensgezindheid; fanfare; gelijkheid; musketiers; ploeg	54; 41; 12; 10; 8; 7; 7; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3							uno; unión; juntos; medida; todo; conjunto; grupo; solo; unido; cantidad; equipo; fuerza; amigos; amistad	27; 14; 8; 6; 5; 4; 4; 4; 4; 3; 3; 3; 2; 2									Recht; Freiheit; Harmonie; Frieden; Konsens; Diskussion; Zusammenarbeit; einstimmig; Gemeinsamkeit	11; 9; 6; 5; 5; 3; 3; 3; 2								
university			大学	高校				universiteit					universidad					Hochschule	Uni				college; school; education; study; learning; student; degree; campus; class; professor; academic; higher education; knowledge; library	48; 31; 27; 19; 18; 12; 11; 7; 6; 6; 4; 4; 4; 3	学生; 学习; 校园; 毕业; 大学生; 学校; 宿舍; 老师; 北大; 同学; 图书馆; 学历; 寝室	7; 6; 6; 4; 3; 3; 3; 3; 2; 2; 2; 2; 2	大学; 学生; 大学生; 学校; 教育; 学术; 青春; 学习; 工作; 恋爱; 教授	19; 14; 5; 5; 5; 3; 3; 2; 2; 2; 2							studeren; studenten; leuven; professor; studie; hogeschool; kot; school; leren; prof; diploma; gebouw; hoge school; moeilijk; onderzoek; gent; groot; slim; wetenschap; antwerpen	31; 17; 16; 13; 10; 9; 8; 8; 7; 7; 6; 6; 6; 6; 6; 5; 5; 5; 5; 4									estudio; facultad; aprendizaje; carrera; educación; edificio; estudiar; academia; conocimiento; libros; nivel; profesión; universo; alumnos	31; 15; 6; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 2									Universität; Uni; Abitur; Studium; studieren; lernen; Abschluss; FH; Fachhochschule; Lernen; Stress	18; 15; 10; 10; 8; 7; 3; 3; 3; 3; 3	Studium; Bildung; lernen; Basel; Hochschule; Lernen; Wissen; Abschluss; Studenten; Wissenschaft; studieren; Bibliothek	12; 9; 6; 5; 5; 5; 5; 4; 4; 4; 4; 3						
unknown			未知					onbekend					desconocido					Unbekannt					mystery; anonymous; strange; blank; secret; missing; unclear; dark; empty; fear; foreign; known; lost; question; soldier; alien; hidden; knowledge; mysterious; new	24; 10; 9; 7; 7; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	宇宙; 未来; 世界; 神秘; 恐惧; 不知道; 探索; 害怕; 已知; 迷茫; 陌生; 不晓得	13; 10; 9; 8; 7; 6; 6; 4; 3; 3; 3; 2									onbemind; vreemd; anoniem; nieuw; nieuwsgierig; onwetend; raar; niet weten; vraagteken; angst; soldaat; ver; spannend; vaag; afwezig; argwaan; avontuur	61; 30; 11; 10; 9; 9; 7; 5; 5; 4; 4; 4; 3; 3; 2; 2; 2									extraño; nuevo; raro; no sé; otro; persona; ajeno; conocido; ignoto; miedo; misterio; anónimo; conocer; ignorado; sin información; alejado; alguien	9; 8; 8; 7; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 2; 2																		
